case;event;time;Resource
85;0;12.06.2012-16:12:48;0
85;1;15.06.2012-07:27:33;8
85;5;15.06.2012-10:00:52;8
85;2;18.06.2012-09:42:02;8
85;3;14.07.2012-15:40:24;4
86;0;14.11.2011-14:35:55;0
86;1;17.11.2011-16:58:30;8
86;5;17.11.2011-16:59:03;8
86;2;25.11.2011-09:30:07;8
86;1;28.11.2011-13:50:35;8
86;5;28.11.2011-13:59:00;8
86;2;07.12.2011-13:41:18;8
86;3;06.01.2012-16:20:25;4
87;0;24.09.2010-07:57:49;13
87;0;24.09.2010-13:43:51;6
87;5;24.09.2010-13:44:52;6
87;1;04.10.2010-10:48:54;13
87;2;04.10.2010-10:49:08;13
87;3;03.11.2010-11:49:30;4
88;0;26.02.2013-16:56:03;0
88;1;13.03.2013-16:41:09;1
88;2;14.03.2013-15:26:52;3
88;3;29.03.2013-15:27:15;2
89;0;16.03.2010-07:59:03;1
89;1;17.03.2010-09:02:03;11
89;2;17.03.2010-09:49:51;11
89;3;21.04.2010-16:00:28;4
90;0;24.05.2011-12:51:35;7
90;1;24.05.2011-12:52:07;7
90;2;24.05.2011-13:36:11;1
90;3;09.07.2011-13:00:36;4
91;0;09.03.2010-10:09:33;1
91;1;09.03.2010-10:09:44;1
91;2;18.03.2010-09:27:56;1
91;3;02.05.2010-08:28:46;4
92;0;25.07.2012-07:02:54;0
92;1;30.07.2012-09:39:04;3
92;2;02.08.2012-15:14:07;12
92;3;09.09.2012-07:10:33;4
93;0;08.02.2012-08:33:56;8
93;1;08.02.2012-08:34:08;8
93;2;08.02.2012-08:34:34;8
93;3;07.04.2012-07:42:34;4
94;0;26.09.2011-10:27:14;0
94;1;29.09.2011-13:54:32;0
94;2;30.09.2011-09:09:23;0
94;3;27.10.2011-10:30:27;4
95;0;27.02.2012-16:31:32;0
95;1;28.02.2012-08:52:59;5
95;2;29.02.2012-08:25:13;0
95;2;29.02.2012-08:25:14;0
95;3;11.04.2012-15:40:27;4
96;0;02.04.2013-12:26:52;1
96;1;05.04.2013-16:14:03;9
96;2;10.05.2013-09:30:24;9
96;3;25.05.2013-09:30:42;2
97;0;05.07.2012-12:16:51;0
97;1;05.07.2012-12:20:39;0
97;2;09.07.2012-13:21:24;8
97;3;07.08.2012-12:20:18;4
98;0;11.05.2011-10:16:32;7
98;1;11.05.2011-10:17:55;7
98;2;16.05.2011-08:33:29;12
98;3;11.06.2011-10:20:27;4
99;0;12.04.2013-10:25:17;0
99;1;24.04.2013-10:24:01;8
99;7;24.04.2013-15:51:11;8
99;2;15.05.2013-13:21:00;1
99;3;30.05.2013-13:21:20;2
100;4;18.06.2010-13:47:15;14
100;0;18.06.2010-14:18:15;14
100;1;29.06.2010-07:35:47;1
100;2;29.06.2010-08:33:07;1
100;3;05.08.2010-13:50:24;4
101;0;30.01.2012-09:09:29;3
101;1;30.01.2012-09:09:57;3
101;2;31.01.2012-08:12:06;1
101;3;16.03.2012-09:12:11;4
102;0;07.06.2010-07:30:54;1
102;0;07.06.2010-07:49:10;1
102;1;07.06.2010-15:16:44;14
102;5;08.06.2010-10:37:29;14
102;1;09.06.2010-07:18:05;14
102;6;09.06.2010-07:18:28;14
102;2;16.06.2010-09:23:07;14
102;3;16.07.2010-09:23:33;4
103;0;27.01.2011-08:34:59;7
103;1;27.01.2011-09:32:40;16
103;2;27.01.2011-09:34:24;16
103;3;05.03.2011-08:42:36;4
104;0;20.11.2012-09:00:13;0
104;1;26.11.2012-16:42:13;1
104;5;30.11.2012-09:01:21;1
104;2;07.12.2012-16:04:16;1
104;3;22.12.2012-16:04:35;2
105;0;15.02.2013-13:12:20;0
105;2;05.03.2013-08:06:13;0
105;3;20.03.2013-08:06:31;2
106;0;30.10.2013-13:25:20;17
106;1;31.10.2013-14:48:10;1
106;5;15.11.2013-08:31:41;1
106;2;18.11.2013-08:20:45;1
106;3;03.12.2013-08:20:56;2
107;0;12.01.2011-11:28:16;12
107;1;24.01.2011-09:21:26;11
107;2;26.01.2011-08:12:39;11
107;3;25.02.2011-08:13:02;4
108;0;24.09.2010-15:35:31;13
108;1;27.09.2010-09:11:48;8
108;5;28.09.2010-08:31:41;8
108;1;08.11.2010-09:33:36;8
108;2;08.11.2010-09:33:57;8
108;3;23.11.2010-09:34:09;4
109;0;16.12.2010-09:33:24;7
109;1;16.12.2010-09:40:25;5
109;2;16.12.2010-15:52:50;16
109;3;13.02.2011-09:40:36;4
110;0;29.06.2010-14:00:48;8
110;1;29.06.2010-15:16:26;8
110;2;30.06.2010-08:05:04;8
110;1;30.06.2010-14:19:00;8
110;5;01.07.2010-09:00:03;8
110;1;02.07.2010-14:07:18;8
110;2;02.07.2010-14:08:52;8
110;3;05.08.2010-14:10:24;4
111;0;06.10.2011-07:50:55;0
111;1;07.10.2011-14:03:47;12
111;2;14.10.2011-14:44:32;12
111;3;08.11.2011-09:00:20;4
112;4;06.05.2010-15:51:48;11
112;0;24.05.2010-10:23:15;5
112;1;25.05.2010-13:48:24;11
112;2;25.05.2010-14:11:28;11
112;3;09.06.2010-14:11:39;4
113;0;11.09.2013-12:51:59;0
113;1;11.09.2013-12:52:24;0
113;5;25.09.2013-12:28:56;8
113;1;01.10.2013-12:14:10;0
113;5;07.10.2013-07:20:45;0
113;2;07.10.2013-10:35:46;0
113;3;22.10.2013-10:36:06;2
114;0;14.02.2013-11:54:22;0
114;1;04.03.2013-09:19:59;1
114;5;04.03.2013-09:20:40;3
114;5;04.03.2013-09:20:40;3
114;2;21.03.2013-13:52:57;3
114;3;05.04.2013-12:53:14;2
115;0;08.04.2011-13:02:03;7
115;1;08.04.2011-13:02:38;7
115;2;08.04.2011-13:07:10;7
115;3;30.05.2011-13:11:18;4
116;0;19.07.2012-10:59:25;12
116;1;20.07.2012-08:49:34;8
116;2;20.07.2012-14:44:15;8
116;3;06.09.2012-11:00:48;4
117;0;07.03.2011-11:02:24;1
117;1;07.03.2011-11:02:41;1
117;2;07.03.2011-13:14:21;1
117;3;13.04.2011-10:10:26;4
118;0;05.12.2011-14:22:17;3
118;1;05.12.2011-14:58:56;5
118;2;13.12.2011-09:22:04;5
118;3;02.02.2012-14:30:45;4
119;0;24.04.2012-14:07:03;1
119;1;08.05.2012-10:53:06;8
119;5;08.05.2012-12:31:30;8
119;2;08.05.2012-14:04:27;8
119;3;25.05.2012-15:41:47;4
120;0;09.02.2011-13:28:58;12
120;1;09.02.2011-14:21:02;12
120;2;09.02.2011-14:21:46;12
120;3;02.04.2011-14:15:17;4
121;0;14.02.2011-15:23:08;7
121;1;15.02.2011-11:17:46;8
121;2;15.02.2011-11:52:47;8
121;3;30.03.2011-14:30:33;4
122;0;06.05.2011-07:33:07;7
122;1;06.05.2011-07:33:39;7
122;5;06.05.2011-12:55:50;8
122;1;12.05.2011-13:45:43;8
122;2;12.05.2011-13:45:54;8
122;3;19.06.2011-08:30:40;4
123;0;07.06.2012-15:31:32;0
123;1;08.06.2012-06:47:21;10
123;2;08.06.2012-06:47:30;10
123;3;21.07.2012-15:40:33;4
124;0;19.08.2010-09:48:49;5
124;1;19.08.2010-09:49:49;5
124;5;19.08.2010-10:07:15;5
124;1;13.09.2010-08:15:21;1
124;2;13.09.2010-08:49:39;1
124;3;28.09.2010-08:49:59;4
125;0;25.07.2012-15:34:31;12
125;0;27.08.2012-13:28:50;1
125;2;27.08.2012-14:18:05;1
125;3;11.09.2012-14:18:23;2
126;0;12.03.2010-09:28:49;1
126;1;12.03.2010-09:29:00;1
126;2;12.03.2010-09:37:27;1
126;3;14.04.2010-08:30:56;4
127;0;28.11.2011-08:10:27;0
127;2;28.11.2011-09:46:59;0
127;2;28.11.2011-09:46:59;0
127;3;31.12.2011-08:20:48;4
128;0;05.04.2013-16:15:52;0
128;2;23.04.2013-15:50:35;0
128;3;08.05.2013-15:50:57;2
129;4;08.04.2010-08:58:03;10
129;0;08.04.2010-09:01:05;10
129;1;08.04.2010-09:01:11;10
129;2;08.04.2010-09:01:19;10
129;3;11.05.2010-09:00:24;4
129;3;11.05.2010-09:00:24;4
130;0;12.08.2013-07:13:49;3
130;1;12.08.2013-07:14:44;3
130;2;09.09.2013-08:36:00;3
130;3;24.09.2013-08:36:13;2
131;0;21.06.2012-12:50:46;0
131;1;21.06.2012-13:30:02;8
131;5;21.06.2012-14:32:08;8
131;2;25.06.2012-12:03:33;8
131;3;02.08.2012-09:30:26;4
132;0;26.01.2011-11:24:58;7
132;0;26.01.2011-11:59:56;7
132;1;26.01.2011-12:00:03;7
132;2;28.01.2011-14:29:17;13
132;3;11.03.2011-11:30:34;4
133;0;19.04.2011-14:42:45;7
133;1;19.04.2011-14:45:25;7
133;2;19.04.2011-14:45:42;7
133;3;02.06.2011-14:50:17;4
134;0;08.02.2011-11:57:41;8
134;1;08.02.2011-11:58:01;8
134;5;10.02.2011-08:27:30;8
134;1;14.02.2011-12:01:11;8
134;2;14.02.2011-12:02:59;8
134;1;03.03.2011-09:46:37;7
134;2;03.03.2011-14:05:29;8
134;3;02.04.2011-14:15:17;4
135;0;06.06.2012-14:48:56;3
135;1;07.06.2012-12:19:44;8
135;2;08.06.2012-07:13:29;8
135;3;07.07.2012-14:50:30;4
136;0;05.08.2011-13:00:13;8
136;1;11.08.2011-10:30:47;8
136;5;12.08.2011-13:42:55;8
136;2;19.08.2011-12:25:37;8
136;3;07.09.2011-13:10:56;4
137;0;02.03.2012-09:13:46;12
137;1;02.03.2012-09:13:56;12
137;2;02.03.2012-09:34:03;12
137;3;06.04.2012-08:20:51;4
138;0;19.04.2010-07:44:31;5
138;1;19.04.2010-09:15:20;1
138;2;19.04.2010-09:26:05;1
138;3;26.05.2010-07:50:40;4
139;0;23.04.2013-16:07:34;13
139;1;07.06.2013-08:55:58;1
139;2;07.06.2013-09:05:27;13
139;3;22.06.2013-09:05:45;2
140;0;12.01.2011-10:39:32;8
140;1;12.01.2011-10:39:56;8
140;5;12.01.2011-10:50:26;8
140;1;12.01.2011-11:07:51;8
140;5;12.01.2011-11:34:34;8
140;1;26.01.2011-09:25:14;8
140;2;26.01.2011-09:26:04;8
140;3;15.02.2011-08:31:10;4
141;0;07.03.2012-11:00:05;0
141;1;08.03.2012-13:53:36;12
141;2;09.03.2012-14:48:25;12
141;3;07.04.2012-10:11:18;4
142;0;21.12.2012-09:23:59;8
142;1;21.12.2012-09:24:16;8
142;5;21.12.2012-16:05:12;8
142;2;08.01.2013-09:46:26;8
142;3;23.01.2013-09:46:46;2
143;0;12.06.2013-15:58:52;13
143;1;19.06.2013-07:52:40;10
143;5;19.06.2013-07:53:36;10
143;2;03.07.2013-16:58:29;15
143;3;18.07.2013-16:58:49;2
144;0;07.08.2013-13:19:28;8
144;1;21.08.2013-08:58:38;0
144;7;23.08.2013-12:54:00;0
144;5;23.08.2013-13:24:54;0
144;2;09.09.2013-15:32:15;0
144;3;24.09.2013-15:32:34;2
145;0;05.10.2010-14:55:27;1
145;1;05.10.2010-15:09:10;1
145;2;05.10.2010-15:09:39;1
145;3;05.11.2010-16:00:53;4
146;0;14.01.2013-14:44:14;3
146;1;06.02.2013-17:06:37;1
146;2;13.02.2013-09:10:51;1
146;3;28.02.2013-09:11:10;2
147;0;09.01.2012-11:19:35;0
147;1;09.01.2012-16:14:26;0
147;2;09.01.2012-16:14:53;0
147;2;09.01.2012-16:14:53;0
147;3;09.02.2012-11:20:25;4
148;0;09.02.2011-14:35:27;7
148;1;09.02.2011-15:16:21;7
148;2;09.02.2011-15:24:44;7
148;3;09.04.2011-13:40:25;4
149;4;18.05.2011-08:39:41;1
149;0;18.05.2011-08:39:49;1
149;1;18.05.2011-08:41:36;1
149;5;23.05.2011-15:20:54;1
149;1;26.05.2011-07:55:33;1
149;2;26.05.2011-07:56:00;1
149;3;07.07.2011-10:10:33;4
150;0;10.02.2010-10:25:33;1
150;1;10.02.2010-10:33:38;1
150;2;10.02.2010-10:33:49;1
150;3;13.03.2010-10:30:26;4
151;0;18.05.2012-12:08:58;0
151;1;24.05.2012-10:00:37;8
151;2;25.05.2012-08:12:16;8
151;3;20.06.2012-12:10:23;4
152;0;02.07.2012-07:35:06;3
152;1;02.07.2012-11:00:33;9
152;2;02.07.2012-11:01:29;9
152;3;03.08.2012-07:40:13;4
153;0;28.01.2013-10:41:57;3
153;1;29.01.2013-13:23:39;3
153;5;12.02.2013-09:56:04;3
153;2;20.02.2013-09:07:48;3
153;3;07.03.2013-09:08:09;2
154;0;14.12.2010-16:19:51;8
154;1;17.12.2010-10:45:21;13
154;5;23.12.2010-15:26:07;13
154;1;18.01.2011-11:15:13;13
154;2;18.01.2011-11:15:29;13
154;3;02.02.2011-11:15:44;4
155;0;14.05.2013-14:19:09;13
155;1;30.05.2013-06:56:35;1
155;2;30.05.2013-07:08:15;1
155;3;14.06.2013-07:08:33;2
156;0;24.05.2011-07:13:23;7
156;1;31.05.2011-15:42:09;1
156;2;06.06.2011-10:19:01;8
156;3;24.06.2011-07:20:28;4
157;0;20.09.2010-15:57:01;6
157;1;21.09.2010-07:45:37;1
157;2;21.09.2010-07:53:48;1
157;3;12.11.2010-17:01:05;4
158;0;21.09.2011-07:12:16;0
